Comp3,Comp2,Comp1,Comp4,Comp5,Comp9,Comp12,Comp6,Comp7,Comp10,prognosis
2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,Fungal Infection
0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,Fungal Infection
2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Fungal Infection
2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,Fungal Infection
0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,Fungal Infection
2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,Fungal Infection
2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,Fungal Infection
0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,Fungal Infection
2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,Fungal Infection
2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,Fungal Infection
2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,Fungal Infection
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,Diabetes
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Diabetes
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,Diabetes
2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,Diabetes
2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,Diabetes
2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,Diabetes
1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,Diabetes
1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Diabetes
1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,Diabetes
1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Diabetes
0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,Cancer
0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,Cancer
